PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
6680.00,6249.00,DL,Delta Air Lines Inc.,DL,13487,MSP,12277,ICN,2023,1
6681.00,1622.00,AA,American Airlines Inc.,AA,14210,POS,13303,MIA,2023,1
6686.00,3953.00,AA,American Airlines Inc.,AA,12972,LHR,13930,ORD,2023,1
6688.00,1000.00,WN,Southwest Airlines Co.,WN,14832,SJD,12191,HOU,2023,2
6688.00,1199.00,AA,American Airlines Inc.,AA,16271,YYZ,11298,DFW,2023,1
6688.00,1627.00,DL,Delta Air Lines Inc.,DL,14838,SJO,10397,ATL,2023,3
6689.00,4697.00,AA,American Airlines Inc.,AA,10517,BCN,13303,MIA,2023,3
6693.00,4278.00,DL,Delta Air Lines Inc.,DL,12478,JFK,11651,FCO,2023,2
6697.00,5659.00,UA,United Air Lines Inc.,UA,14771,SFO,12277,ICN,2023,1
6709.00,1152.00,AA,American Airlines Inc.,AA,13303,MIA,14286,PTY,2023,3
6712.00,1152.00,AA,American Airlines Inc.,AA,13303,MIA,14286,PTY,2023,2
6714.00,7324.00,UA,United Air Lines Inc.,UA,11618,EWR,11290,DEL,2023,2
6715.00,5111.00,AA,American Airlines Inc.,AA,11298,DFW,11988,GRU,2023,2
6717.00,1682.00,SY,Sun Country Airlines d/b/a MN Airlines,SY,11032,CUN,13487,MSP,2023,1
6718.00,4757.00,UA,United Air Lines Inc.,UA,11618,EWR,11988,GRU,2023,2
6724.00,3589.00,AA,American Airlines Inc.,AA,12478,JFK,13156,MAD,2023,3
6724.00,4999.00,DL,Delta Air Lines Inc.,DL,10397,ATL,11625,EZE,2023,3
6727.00,4999.00,DL,Delta Air Lines Inc.,DL,11625,EZE,10397,ATL,2023,3
6730.00,1682.00,SY,Sun Country Airlines d/b/a MN Airlines,SY,13487,MSP,11032,CUN,2023,1
6732.00,4530.00,UA,United Air Lines Inc.,UA,13518,MUC,13930,ORD,2023,1
6737.00,5487.00,DL,Delta Air Lines Inc.,DL,12169,HND,12892,LAX,2023,3
